"Daily Weather Observations for Melbourne, Victoria for July 2023 - August 2024",Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2023-07-1,9.7,13.5,0.4,2.6,4.2,SSW,33,12:32,10.9,81,1,W,11,1023.2,11.3,89,6,SW,9,1025.8
,2023-07-2,9.6,12.8,0.6,0.0,0.2,S,17,11:02,10.5,88,6,SW,6,1033.9,11.9,83,7,SSW,9,1032.7
,2023-07-3,8.2,14.5,0.4,1.2,0.2,N,20,14:58,8.4,90,7,NNE,7,1030.4,14.1,64,7,N,13,1024.8
,2023-07-4,8.3,13.6,0,0.8,0.0,NE,15,07:48,10.9,82,7,NNE,9,1017.9,13.4,77,8,NE,9,1012.7
,2023-07-5,10.8,14.7,2.4,0.0,3.1,NNW,31,14:36,11.6,95,7,NW,4,1012.2,13.7,56,5,NNW,13,1011.2
,2023-07-6,10.0,15.2,0,2.8,7.3,N,50,10:40,11.8,75,7,N,15,1010.4,14.5,56,7,N,24,1006.1
,2023-07-7,9.9,15.5,1.0,2.2,6.8,NNW,39,16:14,11.3,71,1,NNW,11,1010.0,15.0,50,6,NNW,17,1009.0
,2023-07-8,10.5,14.9,1.2,3.8,6.8,N,52,01:40,11.6,64,5,NNW,22,1005.0,14.2,50,5,NW,19,1005.9
,2023-07-9,10.9,16.9,0.2,3.4,3.5,W,39,12:41,12.9,77,7,NNW,11,1015.3,16.3,58,5,WNW,9,1015.9
,2023-07-10,11.9,17.1,0.8,2.2,4.7,N,44,13:57,13.2,66,7,NNW,17,1021.5,15.7,56,7,NNW,19,1019.5
,2023-07-11,11.6,17.6,0.4,3.2,4.8,N,28,00:19,12.9,84,7,NNW,9,1025.8,16.8,54,7,WSW,9,1025.3
,2023-07-12,11.1,17.7,0,2.0,7.8,N,39,12:28,12.5,81,1,N,17,1028.1,16.7,45,7,NNW,20,1026.1
,2023-07-13,9.5,15.9,0,3.4,4.5,N,52,13:06,11.3,69,7,N,17,1026.2,15.4,52,7,N,28,1022.1
,2023-07-14,11.0,14.7,0,4.0,0.3,N,48,14:40,11.0,69,8,N,19,1020.1,14.1,57,7,N,28,1015.5
,2023-07-15,10.1,12.5,0,2.4,0.4,N,35,03:14,10.8,65,7,NNW,17,1017.7,11.5,75,7,SSW,11,1019.9
,2023-07-16,4.8,14.8,0.4,1.0,7.9,SSW,20,11:38,7.3,79,4,NE,9,1029.2,13.9,60,4,S,9,1028.6
,2023-07-17,4.0,16.5,0,3.2,9.4,N,33,13:31,7.7,79,0,NNE,9,1029.3,16.3,49,0,N,17,1025.2
,2023-07-18,7.6,14.6,0,2.8,6.1,NW,44,11:50,9.9,69,1,N,13,1019.7,13.6,55,3,WSW,15,1020.1
,2023-07-19,4.7,14.3,0.8,0.8,7.0,W,19,00:12,6.6,78,7,NE,9,1026.3,13.1,48,7,SSW,6,1022.9
,2023-07-20,5.8,13.4,0,2.2,2.5,NNW,59,10:29,9.1,66,6,N,28,1014.9,10.9,68,7,N,19,1010.7
,2023-07-21,6.7,13.9,0.4,1.8,7.2,NNW,26,00:06,9.0,73,1,W,7,1021.3,13.2,57,6,S,7,1021.8
,2023-07-22,5.7,15.8,0,1.6,5.9,N,24,12:32,9.3,73,1,NNE,4,1023.8,14.1,48,7,NNW,7,1021.2
